Participants,Suisse-Italie,All-Danemark,Angl-Slovak,Esp-Georgie,France-Belgique,Portugal-Sloven
Coco,2-1,3-1,2-0,3-0,2-1,3-0
Coco,1-1,2-1,2-1,2-0,1-1,2-0
Coco,1-2,1-1,1-0,2-1,0-0,2-1
Lisa,0-1,2-0,1-1,2-0,1-0,1-0
Lisa,0-0,1-0,2-0,3-2,0-0,1-1
Lisa,1-1,2-1,1-0,1-0,2-1,2-0
JPierre,1-1,1-0,1-0,1-0,1-0,2-0
JPierre,0-0,2-0,2-1,2-1,2-0,2-1
JPierre,1-2,2-1,2-0,2-0,2-1,1-0
Guy,2-3,2-0,3-1,2-0,2-1,2-0
Guy,1-2,1-0,2-1,3-1,1-0,3-1
Guy,0-1,2-2,1-0,2-1,3-1,1-0
Dom,0-0,2-0,0-1,1-0,0-1,2-0
Dom,2-0,0-1,1-1,0-1,1-0,2-1
Dom,0-1,2-1,1-0,2-2,2-1,1-0
Gilles,1-1,2-2,2-1,3-0,2-1,3-1
Gilles,0-0,2-1,3-1,3-1,1-0,2-0
Gilles,1-0,1-2,2-2,2-0,3-1,2-0
Pascal,0-1,1-1,2-0,3-0,2-0,0-0
Pascal,1-1,1-0,2-0,1-0,0-0,1-0
Pascal,2-0,0-0,0-0,2-1,2-0,0-1
Albert,1-0,1-0,1-0,2-0,2-1,2-0
Albert,2-1,2-1,0-1,3-1,1-0,1-0
Albert,1-1,1-1,2-2,1-0,0-1,2-1
Patrice,1-2,1-1,0-0,2-0,3-0,1-0
Patrice,1-1,2-0,1-0,1-1,2-1,3-1
Patrice,0-1,3-1,2-1,3-1,2-2,1-1
JPierre,3-0,0-3,0-1,0-1,0-2,0-1
JPierre,0-2,2-0,2-0,2-0,1-0,3-0
JPierre,4-0,4-0,4-0,4-0,4-0,4-0
Louis,1-2,3-2,2-1,3-0,2-1,2-0
Louis,3-0,0-2,0-1,0-2,2-1,0-1
Louis,2-1,2-1,0-1,2-1,3-2,2-3
Irwin,1-0,2-1,1-0,2-0,1-0,2-0
Irwin,1-2,1-0,1-1,3-0,2-0,3-0
Irwin,2-1,2-0,2-0,2-1,1-1,2-1
J Yves,2-1,1-0,2-1,3-0,1-0,2-0
J Yves,1-0,0-1,2-0,2-0,2-1,1-0
J Yves,1-2,2-1,1-0,4-0,3-1,3-1
Kevin,1-1,2-0,2-1,2-0,2-1,2-1
Kevin,2-1,3-0,2-2,2-0,3-1,2-2
Kevin,1-2,2-1,2-0,2-0,1-1,2-0
Brice,1-1,2-0,1-1,3-1,1-1,2-0
Brice,1-0,2-1,1-0,2-0,1-0,1-0
Brice,0-1,1-0,2-0,2-1,2-1,3-0
Cedric,2-0,0-2,0-1,0-2,3-0,0-3